well_name, x_coord [m], x_coord [m], z_coord [m], time [years], concentration [ppb]
w1a, 823, 1499, 3, 1, 0
w1a, 823, 1499, 3, 2, 0
w1a, 823, 1499, 3, 3, 0
w1a, 823, 1499, 3, 4, 0
w1a, 823, 1499, 3, 5, 0
w1a, 823, 1499, 3, 6, 1.69798
w1a, 823, 1499, 3, 7, 29.9077
w1a, 823, 1499, 3, 8, 79.257
w1a, 823, 1499, 3, 9, 129.014
w1a, 823, 1499, 3, 10, 172.17
w1a, 823, 1499, 3, 11, 207.793
w1a, 823, 1499, 3, 12, 236.712
w1a, 823, 1499, 3, 13, 260.093
w1a, 823, 1499, 3, 14, 279.016
w1a, 823, 1499, 3, 15, 294.383
w1a, 823, 1499, 3, 16, 305.215
w1a, 823, 1499, 3, 17, 287.267
w1a, 823, 1499, 3, 18, 246.359
w1a, 823, 1499, 3, 19, 203.574
w1a, 823, 1499, 3, 20, 166.2
w1a, 823, 1499, 3, 21, 135.389
w1a, 823, 1499, 3, 22, 110.489
w1a, 823, 1499, 3, 23, 90.4743
w1a, 823, 1499, 3, 24, 74.3791
w1a, 823, 1499, 3, 25, 61.3953
w1a, 823, 1499, 3, 26, 50.8778
w1a, 823, 1499, 3, 27, 42.3194
w1a, 823, 1499, 3, 28, 35.3236
w1a, 823, 1499, 3, 29, 29.58
w1a, 823, 1499, 3, 30, 24.845
w1a, 823, 1499, 3, 31, 20.9262
w1a, 823, 1499, 3, 32, 17.6711
w1a, 823, 1499, 3, 33, 14.9581
w1a, 823, 1499, 3, 34, 12.69
w1a, 823, 1499, 3, 35, 10.7881
w1a, 823, 1499, 3, 36, 9.18902
w1a, 823, 1499, 3, 37, 7.84114
w1a, 823, 1499, 3, 38, 6.70231
w1a, 823, 1499, 3, 39, 5.73799
w1a, 823, 1499, 3, 40, 4.91974
w1a, 823, 1499, 3, 41, 4.2241
w1a, 823, 1499, 3, 42, 3.63162
w1a, 823, 1499, 3, 43, 3.12614
w1a, 823, 1499, 3, 44, 2.6942
w1a, 823, 1499, 3, 45, 2.32453
w1a, 823, 1499, 3, 46, 2.00772
w1a, 823, 1499, 3, 47, 1.73582
w1a, 823, 1499, 3, 48, 1.50218
w1a, 823, 1499, 3, 49, 1.30118
w1a, 823, 1499, 3, 50, 1.12804
w1b, 823, 1499, 33, 1, 0
w1b, 823, 1499, 33, 2, 0
w1b, 823, 1499, 33, 3, 0
w1b, 823, 1499, 33, 4, 0
w1b, 823, 1499, 33, 5, 0
w1b, 823, 1499, 33, 6, 2.52128e-14
w1b, 823, 1499, 33, 7, 1.48488e-6
w1b, 823, 1499, 33, 8, 0.000587946
w1b, 823, 1499, 33, 9, 0.0116229
w1b, 823, 1499, 33, 10, 0.0688368
w1b, 823, 1499, 33, 11, 0.222566
w1b, 823, 1499, 33, 12, 0.508637
w1b, 823, 1499, 33, 13, 0.935368
w1b, 823, 1499, 33, 14, 1.48795
w1b, 823, 1499, 33, 15, 2.13864
w1b, 823, 1499, 33, 16, 2.85565
w1b, 823, 1499, 33, 17, 3.60882
w1b, 823, 1499, 33, 18, 4.37183
w1b, 823, 1499, 33, 19, 5.11451
w1b, 823, 1499, 33, 20, 5.78603
w1b, 823, 1499, 33, 21, 6.3256
w1b, 823, 1499, 33, 22, 6.6907
w1b, 823, 1499, 33, 23, 6.86931
w1b, 823, 1499, 33, 24, 6.87481
w1b, 823, 1499, 33, 25, 6.73512
w1b, 823, 1499, 33, 26, 6.48338
w1b, 823, 1499, 33, 27, 6.15189
w1b, 823, 1499, 33, 28, 5.76897
w1b, 823, 1499, 33, 29, 5.35781
w1b, 823, 1499, 33, 30, 4.93647
w1b, 823, 1499, 33, 31, 4.51839
w1b, 823, 1499, 33, 32, 4.11314
w1b, 823, 1499, 33, 33, 3.72716
w1b, 823, 1499, 33, 34, 3.3645
w1b, 823, 1499, 33, 35, 3.02736
w1b, 823, 1499, 33, 36, 2.71662
w1b, 823, 1499, 33, 37, 2.43217
w1b, 823, 1499, 33, 38, 2.17326
w1b, 823, 1499, 33, 39, 1.93869
w1b, 823, 1499, 33, 40, 1.727
w1b, 823, 1499, 33, 41, 1.53656
w1b, 823, 1499, 33, 42, 1.36573
w1b, 823, 1499, 33, 43, 1.21282
w1b, 823, 1499, 33, 44, 1.07622
w1b, 823, 1499, 33, 45, 0.954404
w1b, 823, 1499, 33, 46, 0.845916
w1b, 823, 1499, 33, 47, 0.749414
w1b, 823, 1499, 33, 48, 0.663664
w1b, 823, 1499, 33, 49, 0.587534
w1b, 823, 1499, 33, 50, 0.519996
w2a, 880, 1360, 3, 1, 0
w2a, 880, 1360, 3, 2, 0
w2a, 880, 1360, 3, 3, 0
w2a, 880, 1360, 3, 4, 0
w2a, 880, 1360, 3, 5, 0
w2a, 880, 1360, 3, 6, 0.670317
w2a, 880, 1360, 3, 7, 21.0752
w2a, 880, 1360, 3, 8, 67.763
w2a, 880, 1360, 3, 9, 121.433
w2a, 880, 1360, 3, 10, 171.556
w2a, 880, 1360, 3, 11, 214.925
w2a, 880, 1360, 3, 12, 251.297
w2a, 880, 1360, 3, 13, 281.412
w2a, 880, 1360, 3, 14, 306.234
w2a, 880, 1360, 3, 15, 326.682
w2a, 880, 1360, 3, 16, 342.88
w2a, 880, 1360, 3, 17, 336.423
w2a, 880, 1360, 3, 18, 301.301
w2a, 880, 1360, 3, 19, 257.25
w2a, 880, 1360, 3, 20, 215.15
w2a, 880, 1360, 3, 21, 178.494
w2a, 880, 1360, 3, 22, 147.752
w2a, 880, 1360, 3, 23, 122.372
w2a, 880, 1360, 3, 24, 101.543
w2a, 880, 1360, 3, 25, 84.4703
w2a, 880, 1360, 3, 26, 70.4608
w2a, 880, 1360, 3, 27, 58.9392
w2a, 880, 1360, 3, 28, 49.4369
w2a, 880, 1360, 3, 29, 41.5761
w2a, 880, 1360, 3, 30, 35.0531
w2a, 880, 1360, 3, 31, 29.6238
w2a, 880, 1360, 3, 32, 25.0914
w2a, 880, 1360, 3, 33, 21.2971
w2a, 880, 1360, 3, 34, 18.1124
w2a, 880, 1360, 3, 35, 15.4324
w2a, 880, 1360, 3, 36, 13.172
w2a, 880, 1360, 3, 37, 11.2611
w2a, 880, 1360, 3, 38, 9.64236
w2a, 880, 1360, 3, 39, 8.26831
w2a, 880, 1360, 3, 40, 7.09982
w2a, 880, 1360, 3, 41, 6.10439
w2a, 880, 1360, 3, 42, 5.25498
w2a, 880, 1360, 3, 43, 4.52902
w2a, 880, 1360, 3, 44, 3.90767
w2a, 880, 1360, 3, 45, 3.3751
w2a, 880, 1360, 3, 46, 2.91802
w2a, 880, 1360, 3, 47, 2.52523
w2a, 880, 1360, 3, 48, 2.18729
w2a, 880, 1360, 3, 49, 1.8962
w2a, 880, 1360, 3, 50, 1.64521
w2b, 880, 1360, 33, 1, 0
w2b, 880, 1360, 33, 2, 0
w2b, 880, 1360, 33, 3, 0
w2b, 880, 1360, 33, 4, 0
w2b, 880, 1360, 33, 5, 0
w2b, 880, 1360, 33, 6, 1.16116e-14
w2b, 880, 1360, 33, 7, 1.21594e-6
w2b, 880, 1360, 33, 8, 0.000583257
w2b, 880, 1360, 33, 9, 0.0126895
w2b, 880, 1360, 33, 10, 0.0795901
w2b, 880, 1360, 33, 11, 0.267329
w2b, 880, 1360, 33, 12, 0.627706
w2b, 880, 1360, 33, 13, 1.17786
w2b, 880, 1360, 33, 14, 1.90309
w2b, 880, 1360, 33, 15, 2.76926
w2b, 880, 1360, 33, 16, 3.73473
w2b, 880, 1360, 33, 17, 4.75858
w2b, 880, 1360, 33, 18, 5.80437
w2b, 880, 1360, 33, 19, 6.83214
w2b, 880, 1360, 33, 20, 7.77659
w2b, 880, 1360, 33, 21, 8.55596
w2b, 880, 1360, 33, 22, 9.10803
w2b, 880, 1360, 33, 23, 9.4095
w2b, 880, 1360, 33, 24, 9.47219
w2b, 880, 1360, 33, 25, 9.32979
w2b, 880, 1360, 33, 26, 9.02522
w2b, 880, 1360, 33, 27, 8.60191
w2b, 880, 1360, 33, 28, 8.09898
w2b, 880, 1360, 33, 29, 7.54918
w2b, 880, 1360, 33, 30, 6.9785
w2b, 880, 1360, 33, 31, 6.40665
w2b, 880, 1360, 33, 32, 5.84799
w2b, 880, 1360, 33, 33, 5.31246
w2b, 880, 1360, 33, 34, 4.80653
w2b, 880, 1360, 33, 35, 4.334
w2b, 880, 1360, 33, 36, 3.89669
w2b, 880, 1360, 33, 37, 3.49493
w2b, 880, 1360, 33, 38, 3.12808
w2b, 880, 1360, 33, 39, 2.79477
w2b, 880, 1360, 33, 40, 2.49318
w2b, 880, 1360, 33, 41, 2.22124
w2b, 880, 1360, 33, 42, 1.97676
w2b, 880, 1360, 33, 43, 1.75751
w2b, 880, 1360, 33, 44, 1.56129
w2b, 880, 1360, 33, 45, 1.38601
w2b, 880, 1360, 33, 46, 1.22966
w2b, 880, 1360, 33, 47, 1.09039
w2b, 880, 1360, 33, 48, 0.966475
w2b, 880, 1360, 33, 49, 0.856319
w2b, 880, 1360, 33, 50, 0.758479
w3a, 975, 1450, 3, 1, 0
w3a, 975, 1450, 3, 2, 0
w3a, 975, 1450, 3, 3, 0
w3a, 975, 1450, 3, 4, 0
w3a, 975, 1450, 3, 5, 0
w3a, 975, 1450, 3, 6, 8027.22
w3a, 975, 1450, 3, 7, 10580.8
w3a, 975, 1450, 3, 8, 11704.7
w3a, 975, 1450, 3, 9, 12330.2
w3a, 975, 1450, 3, 10, 12721.7
w3a, 975, 1450, 3, 11, 12984.8
w3a, 975, 1450, 3, 12, 13170.1
w3a, 975, 1450, 3, 13, 13305.1
w3a, 975, 1450, 3, 14, 13406.1
w3a, 975, 1450, 3, 15, 13483.2
w3a, 975, 1450, 3, 16, 5515.74
w3a, 975, 1450, 3, 17, 3009.12
w3a, 975, 1450, 3, 18, 1922.53
w3a, 975, 1450, 3, 19, 1326.88
w3a, 975, 1450, 3, 20, 959.52
w3a, 975, 1450, 3, 21, 716.156
w3a, 975, 1450, 3, 22, 546.966
w3a, 975, 1450, 3, 23, 425.167
w3a, 975, 1450, 3, 24, 335.134
w3a, 975, 1450, 3, 25, 267.186
w3a, 975, 1450, 3, 26, 215.038
w3a, 975, 1450, 3, 27, 174.459
w3a, 975, 1450, 3, 28, 142.512
w3a, 975, 1450, 3, 29, 117.113
w3a, 975, 1450, 3, 30, 96.7453
w3a, 975, 1450, 3, 31, 80.2915
w3a, 975, 1450, 3, 32, 66.9121
w3a, 975, 1450, 3, 33, 55.9696
w3a, 975, 1450, 3, 34, 46.9739
w3a, 975, 1450, 3, 35, 39.5442
w3a, 975, 1450, 3, 36, 33.3823
w3a, 975, 1450, 3, 37, 28.2523
w3a, 975, 1450, 3, 38, 23.9668
w3a, 975, 1450, 3, 39, 20.3753
w3a, 975, 1450, 3, 40, 17.3566
w3a, 975, 1450, 3, 41, 14.8127
w3a, 975, 1450, 3, 42, 12.6636
w3a, 975, 1450, 3, 43, 10.8438
w3a, 975, 1450, 3, 44, 9.29954
w3a, 975, 1450, 3, 45, 7.98653
w3a, 975, 1450, 3, 46, 6.86806
w3a, 975, 1450, 3, 47, 5.91366
w3a, 975, 1450, 3, 48, 5.09791
w3a, 975, 1450, 3, 49, 4.39962
w3a, 975, 1450, 3, 50, 3.80101
w3b, 975, 1450, 33, 1, 0
w3b, 975, 1450, 33, 2, 0
w3b, 975, 1450, 33, 3, 0
w3b, 975, 1450, 33, 4, 0
w3b, 975, 1450, 33, 5, 0
w3b, 975, 1450, 33, 6, 1.27434e-11
w3b, 975, 1450, 33, 7, 6.18926e-5
w3b, 975, 1450, 33, 8, 0.0106689
w3b, 975, 1450, 33, 9, 0.13923
w3b, 975, 1450, 33, 10, 0.643108
w3b, 975, 1450, 33, 11, 1.76294
w3b, 975, 1450, 33, 12, 3.58317
w3b, 975, 1450, 33, 13, 6.03851
w3b, 975, 1450, 33, 14, 8.98087
w3b, 975, 1450, 33, 15, 12.2391
w3b, 975, 1450, 33, 16, 15.6548
w3b, 975, 1450, 33, 17, 19.0977
w3b, 975, 1450, 33, 18, 22.4587
w3b, 975, 1450, 33, 19, 25.5611
w3b, 975, 1450, 33, 20, 28.1025
w3b, 975, 1450, 33, 21, 29.8162
w3b, 975, 1450, 33, 22, 30.6059
w3b, 975, 1450, 33, 23, 30.5352
w3b, 975, 1450, 33, 24, 29.7576
