Obs	omega	k
o0.0	0	0
o0.1	-0.0002037668775367596	-4138078435467207e-23
o0.2	-0.000810611869429545	-3973763484932391e-22
o0.3	-0.0018203370078040402	-11181358283707254e-22
o0.4	-0.0032271600369671027	-23823542705248e-19
o0.5	-0.0050165199518259485	-4891729926681521e-21
o0.6	-0.0071989877427691695	-8193815225210344e-21
o0.7	-0.009762628940159779	-12554281371146557e-21
o0.8	-0.012686219466636617	-19088612324136278e-21
o0.9	-0.01599194628717382	-26790715222935194e-21
o1.0	-0.01965645175682429	-3609164114015684e-20
o1.1	-0.02366029293364935	-4833380300661716e-20
o1.2	-0.02803525477333535	-620733387168837e-19
o1.3	-0.032734660049870135	-7807541564930354e-20
o1.4	-0.03775985677162752	-9752597519785411e-20
o1.5	-0.04314683998227431	-0.00011876299024438097
o1.6	-0.048805290023949954	-0.00014311320136184413
o1.7	-0.054788736594882925	-0.00017109544665161458
o1.8	-0.061109544486307454	-0.00020111664346011973
o1.9	-0.06766059795416668	-0.00023532337246279234
o2.0	-0.07453563287040388	-0.0002729890544772573
o2.1	-0.08169696684899308	-0.0003124373664253888
o2.2	-0.08907923472954327	-0.0003583262541384524
o2.3	-0.09677960821779186	-0.00040666177870907205
o2.4	-0.10468090775179738	-0.00045801504793940856
o2.5	-0.11282836739882394	-0.0005152410464415169
o2.6	-0.1212530997625505	-0.0005750739707177654
o2.7	-0.12982654974336705	-0.0006394228442696548
o2.8	-0.13866984871250487	-0.0007086875489403788
o2.9	-0.14769775344061653	-0.0007799270141295445
o3.0	-0.1568856181632261	-0.0008589340583098349
o3.1	-0.16632039330691128	-0.0009407919684234489
o3.2	-0.17585890415958483	-0.0010264028631401523
o3.3	-0.1856072315131574	-0.001118330520999411
o3.4	-0.19550081776026906	-0.0012131962475137037
o3.5	-0.2054969994521283	-0.0013137635588722496
o3.6	-0.21568833766733905	-0.0014189149054477657
o3.7	-0.22594066062511017	-0.0015274736033277227
o3.8	-0.2363488357363175	-0.0016429743142676312
o3.9	-0.2468433295069261	-0.0017615257387704197
o4.0	-0.2574077770966321	-0.0018856163150160477
